id,date,wattage
2,1704562403315,1.4
2,1704562405337,1.4
2,1704562407356,1.4
2,1704562409374,1.4
2,1704562411385,1.4
2,1704562413397,1.4
2,1704562415408,1.4
2,1704562417430,1.4
2,1704562419448,1.4
2,1704562421469,1.4
2,1704562423490,1.4
2,1704562425506,1.4
2,1704562427516,1.4
2,1704562429535,1.4
2,1704562431554,1.4
2,1704562433571,1.4
2,1704562435583,1.4
2,1704562437604,1.4
2,1704562439626,1.4
2,1704562441645,1.4
2,1704562443668,1.4
2,1704562445684,1.4
2,1704562447719,1.4
2,1704562449736,1.4
2,1704562451757,1.4
2,1704562453772,1.4
2,1704562455780,1.4
2,1704562457792,1.4
2,1704562459814,1.4
2,1704562461838,1.4
2,1704562463855,1.4
2,1704562465873,1.4
2,1704562467896,1.4
2,1704562469916,1.4
2,1704562471928,1.4
2,1704562473948,1.4
2,1704562475976,1.4
2,1704562478000,1.4
2,1704562480012,1.4
2,1704562482027,1.4
2,1704562484048,1.4
2,1704562486067,1.4
2,1704562488086,1.4
2,1704562490105,1.4
2,1704562492121,1.4
2,1704562494131,1.4
2,1704562496141,1.4
2,1704562498152,1.4
2,1704562633715,1.4
2,1704562635727,1.4
2,1704562637737,1.4
2,1704562639753,1.4
2,1704562641776,1.4
2,1704562643796,1.4
2,1704562645808,1.4
2,1704562647819,1.4
2,1704562649830,1.4
2,1704562651839,1.4
2,1704562653853,1.4
2,1704562655865,1.4
2,1704562657883,1.4
2,1704562659894,1.4
2,1704562661912,1.4
2,1704562663927,1.4
2,1704562665937,1.4
2,1704562667955,1.4
2,1704562669979,1.4
2,1704562672003,1.4
2,1704562674019,1.4
2,1704562676029,1.4
2,1704562678039,1.4
2,1704562680050,1.4
2,1704562682058,1.4
2,1704562684069,1.4
2,1704562686081,1.4
2,1704562688094,1.4
2,1704562690113,1.4
2,1704562692130,1.4
2,1704562694148,1.4
2,1704562696169,1.4
2,1704562698192,1.4
2,1704562700216,1.4
2,1704562702242,1.4
2,1704562704266,1.4
2,1704562706292,1.4
2,1704562708321,1.4
2,1704562710350,1.4
2,1704562712366,1.4
2,1704562714386,1.4
2,1704562716416,1.4
2,1704562718434,1.4
2,1704562720456,1.4
2,1704562722473,1.4
2,1704562724480,1.4
2,1704562726498,1.4
2,1704562728525,1.4
2,1704562730541,1.4
2,1704562732559,1.4
2,1704562734577,1.4
2,1704562736637,1.4
2,1704562738656,1.4
2,1704562740683,1.4
2,1704562742703,1.4
2,1704562744716,1.4
2,1704562746730,1.4
2,1704562748752,1.4
2,1704562750777,1.4
2,1704562752801,1.4
2,1704562754826,1.4
2,1704562756855,1.4
2,1704562758872,1.4
2,1704562760890,1.4
2,1704562762914,1.4
2,1704562764930,1.4
2,1704562766947,1.4
2,1704562768962,1.4
2,1704562770970,1.4
2,1704562772988,1.4
2,1704562775011,1.4
2,1704562777040,1.4
2,1704562779058,1.4
2,1704562781073,1.4
